SK_ID_CURR,TARGET,age,years_employed,income_group,employment_group,age_group,annuity_group,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,loan_income_ratio,annuity_income_ratio,income_per_person,bureau_loan_count,active_loan_count,closed_loan_count,total_external_credit,previous_application_count,approved_application_count,refused_application_count
384575,0,36.43013698630137,2.0876712328767124,High,2-5 Years,30-40,Very High Burden,Secondary / secondary special,Married,House / apartment,Sales staff,207000.0,465457.5,52641.0,2.248586956521739,0.25430434782608696,51750.0,7.0,3.0,4.0,970276.5,5.0,2.0,3.0
214010,0,40.487671232876714,3.126027397260274,Very High,2-5 Years,40-50,High Burden,Higher education,Single / not married,House / apartment,Managers,247500.0,1281712.5,48946.5,5.178636363636364,0.19776363636363636,247500.0,5.0,2.0,3.0,4330867.5,12.0,10.0,2.0
142232,0,49.06027397260274,1.7506849315068493,High,0-2 Years,40-50,High Burden,Secondary / secondary special,Married,House / apartment,Sales staff,202500.0,495000.0,39109.5,2.4444444444444446,0.19313333333333332,101250.0,6.0,3.0,3.0,2804085.0,7.0,3.0,1.0
389171,0,53.76986301369863,19.12876712328767,Very High,10-20 Years,50-60,Very Low Burden,Secondary / secondary special,Widow,House / apartment,High skill tech staff,247500.0,254700.0,24939.0,1.029090909090909,0.10076363636363636,247500.0,2.0,0.0,2.0,252517.05,1.0,1.0,0.0
283617,0,55.69041095890411,3.0273972602739727,Low,2-5 Years,50-60,Low Burden,Secondary / secondary special,Single / not married,House / apartment,Laborers,112500.0,308133.0,15862.5,2.73896,0.141,112500.0,3.0,1.0,2.0,1360575.0,9.0,5.0,3.0
362171,0,52.41095890410959,,Very Low,,50-60,High Burden,Secondary / secondary special,Married,House / apartment,,85500.0,152820.0,16456.5,1.7873684210526315,0.19247368421052632,42750.0,3.0,3.0,0.0,369652.5,2.0,2.0,0.0
180689,0,43.07397260273972,0.9452054794520548,Low,0-2 Years,40-50,High Burden,Secondary / secondary special,Married,House / apartment,,112500.0,900000.0,24750.0,8.0,0.22,37500.0,2.0,0.0,2.0,110963.61,0.0,0.0,0.0
310328,0,29.59178082191781,0.7123287671232876,Medium,0-2 Years,20-30,High Burden,Secondary / secondary special,Single / not married,House / apartment,Laborers,141606.0,810000.0,33120.0,5.720096606076014,0.23388839455955257,141606.0,2.0,2.0,0.0,1035000.0,0.0,0.0,0.0
233043,0,64.42739726027398,,Low,,60-70,Very High Burden,Secondary / secondary special,Married,House / apartment,,130500.0,781920.0,34443.0,5.991724137931034,0.2639310344827586,65250.0,7.0,2.0,5.0,1455786.135,11.0,5.0,5.0
232220,0,23.986301369863014,1.7780821917808218,Very Low,0-2 Years,20-30,Very High Burden,Secondary / secondary special,Separated,House / apartment,Laborers,99000.0,900000.0,35824.5,9.090909090909092,0.3618636363636364,49500.0,0.0,0.0,0.0,961704.0,11.0,5.0,0.0
134561,1,36.38356164383562,0.7671232876712328,Very Low,0-2 Years,30-40,Very High Burden,Secondary / secondary special,Married,House / apartment,Sales staff,67500.0,331920.0,17077.5,4.917333333333334,0.253,11250.0,4.0,3.0,1.0,702000.0,3.0,2.0,1.0
120952,1,23.117808219178084,2.2164383561643834,Low,2-5 Years,20-30,Very Low Burden,Secondary / secondary special,Married,With parents,Laborers,135000.0,225000.0,11074.5,1.6666666666666667,0.08203333333333333,67500.0,3.0,3.0,0.0,67500.0,4.0,3.0,1.0
188909,0,61.73150684931507,,Very High,,60-70,Very Low Burden,Secondary / secondary special,Widow,House / apartment,,270000.0,593010.0,17122.5,2.1963333333333335,0.06341666666666666,270000.0,16.0,8.0,8.0,2363417.5949999997,5.0,4.0,1.0
347275,0,45.912328767123284,2.9945205479452053,Very High,2-5 Years,40-50,Very Low Burden,Secondary / secondary special,Married,House / apartment,Core staff,630000.0,1125000.0,36292.5,1.7857142857142858,0.05760714285714286,157500.0,7.0,1.0,6.0,21320280.0,2.0,1.0,1.0
250804,0,30.723287671232878,2.276712328767123,High,2-5 Years,30-40,Moderate Burden,Higher education,Single / not married,Municipal apartment,High skill tech staff,180000.0,774000.0,28813.5,4.3,0.160075,180000.0,3.0,2.0,1.0,904680.0,0.0,0.0,0.0
348749,0,27.980821917808218,5.997260273972603,Low,5-10 Years,20-30,Very Low Burden,Secondary / secondary special,Married,With parents,Laborers,112500.0,142200.0,9387.0,1.264,0.08344,37500.0,4.0,3.0,1.0,342189.72,2.0,1.0,0.0
231383,0,61.61095890410959,18.980821917808218,Very High,10-20 Years,60-70,Moderate Burden,Lower secondary,Married,Rented apartment,Accountants,256500.0,765000.0,38250.0,2.982456140350877,0.14912280701754385,128250.0,4.0,1.0,3.0,3939750.0,2.0,2.0,0.0
119647,0,33.364383561643834,2.5506849315068494,Very Low,2-5 Years,30-40,Very High Burden,Secondary / secondary special,Married,House / apartment,Sales staff,45000.0,454500.0,17739.0,10.1,0.3942,22500.0,0.0,0.0,0.0,961704.0,2.0,1.0,1.0
257374,0,62.010958904109586,,Very High,,60-70,Low Burden,Secondary / secondary special,Married,Municipal apartment,,292500.0,781920.0,33259.5,2.673230769230769,0.1137076923076923,146250.0,0.0,0.0,0.0,961704.0,1.0,1.0,0.0
305211,0,64.31780821917808,,Medium,,60-70,Moderate Burden,Higher education,Married,House / apartment,,157500.0,824823.0,24246.0,5.236971428571429,0.15394285714285713,78750.0,10.0,3.0,7.0,1027965.3300000001,12.0,10.0,0.0
153812,0,66.03013698630137,,Very Low,,60-70,Moderate Burden,Lower secondary,Civil marriage,House / apartment,,85500.0,225000.0,15790.5,2.6315789473684212,0.18468421052631578,42750.0,2.0,0.0,2.0,160551.0,6.0,3.0,0.0
149325,0,26.476712328767125,2.2383561643835614,Very High,2-5 Years,20-30,Low Burden,Incomplete higher,Married,House / apartment,High skill tech staff,270000.0,755190.0,38610.0,2.797,0.143,135000.0,2.0,2.0,0.0,1350000.0,4.0,3.0,0.0
404667,0,28.4,0.8794520547945206,Low,0-2 Years,20-30,Very High Burden,Higher education,Married,With parents,Sales staff,112500.0,503676.0,34200.0,4.47712,0.304,37500.0,0.0,0.0,0.0,961704.0,0.0,0.0,0.0
114238,0,23.40821917808219,,Very High,,20-30,Low Burden,Higher education,Married,House / apartment,,247500.0,270045.0,30595.5,1.0910909090909091,0.12361818181818182,82500.0,2.0,2.0,0.0,1805135.9849999999,1.0,1.0,0.0
373414,1,38.320547945205476,2.1315068493150684,Low,2-5 Years,30-40,Moderate Burden,Secondary / secondary special,Married,House / apartment,Sales staff,112500.0,339241.5,16627.5,3.01548,0.1478,56250.0,1.0,1.0,0.0,10350000.0,4.0,3.0,0.0
188388,0,62.41917808219178,3.6410958904109587,High,2-5 Years,60-70,High Burden,Higher education,Married,House / apartment,Accountants,202500.0,500490.0,48888.0,2.4715555555555557,0.24142222222222223,101250.0,7.0,3.0,4.0,1850746.5,9.0,2.0,4.0
231929,1,29.687671232876713,2.2739726027397262,Very Low,2-5 Years,20-30,Very High Burden,Secondary / secondary special,Married,House / apartment,Laborers,67500.0,1024740.0,52452.0,15.181333333333333,0.7770666666666667,22500.0,0.0,0.0,0.0,961704.0,1.0,1.0,0.0
288831,0,29.59178082191781,4.13972602739726,High,2-5 Years,20-30,Low Burden,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,171000.0,375322.5,20488.5,2.1948684210526315,0.11981578947368421,42750.0,8.0,4.0,4.0,1774743.435,17.0,6.0,10.0
111556,0,46.83835616438356,3.723287671232877,Very High,2-5 Years,40-50,Very Low Burden,Secondary / secondary special,Separated,House / apartment,Laborers,315000.0,927000.0,30766.5,2.942857142857143,0.09767142857142858,105000.0,11.0,4.0,7.0,1305979.425,3.0,3.0,0.0
199643,0,37.35342465753425,17.38082191780822,Low,10-20 Years,30-40,Very High Burden,Higher education,Civil marriage,House / apartment,Accountants,135000.0,675000.0,34465.5,5.0,0.2553,33750.0,7.0,0.0,7.0,651753.0,1.0,1.0,0.0
120657,0,35.88767123287671,2.3232876712328765,High,2-5 Years,30-40,Very High Burden,Higher education,Married,House / apartment,,202500.0,713889.0,56533.5,3.525377777777778,0.2791777777777778,50625.0,4.0,2.0,2.0,594987.3,2.0,2.0,0.0
439579,0,57.21917808219178,,Low,,50-60,Low Burden,Secondary / secondary special,Married,House / apartment,,135000.0,360000.0,18000.0,2.6666666666666665,0.13333333333333333,67500.0,0.0,0.0,0.0,961704.0,1.0,1.0,0.0
361223,0,61.48219178082192,,High,,60-70,Low Burden,Higher education,Married,House / apartment,,180000.0,518562.0,20695.5,2.8809,0.114975,90000.0,1.0,1.0,0.0,292500.0,10.0,7.0,3.0
345983,0,61.21095890410959,,High,,60-70,Very High Burden,Secondary / secondary special,Married,House / apartment,,225000.0,1710000.0,59566.5,7.6,0.26474,112500.0,10.0,4.0,6.0,2272496.58,15.0,11.0,2.0
284103,0,39.38082191780822,6.328767123287672,High,5-10 Years,30-40,Very Low Burden,Secondary / secondary special,Married,House / apartment,,180000.0,225000.0,17775.0,1.25,0.09875,45000.0,11.0,4.0,7.0,1353164.76,7.0,2.0,5.0
280677,0,36.43013698630137,5.158904109589041,Low,5-10 Years,30-40,Very Low Burden,Higher education,Married,House / apartment,,135000.0,225000.0,12334.5,1.6666666666666667,0.09136666666666667,45000.0,5.0,2.0,3.0,551309.49,3.0,1.0,0.0
378518,0,43.47671232876712,7.728767123287671,High,5-10 Years,40-50,Very Low Burden,Incomplete higher,Widow,House / apartment,Low-skill Laborers,202500.0,405000.0,20250.0,2.0,0.1,202500.0,1.0,1.0,0.0,130500.0,10.0,5.0,2.0
425522,0,52.293150684931504,2.536986301369863,Medium,2-5 Years,50-60,Very Low Burden,Secondary / secondary special,Married,House / apartment,Sales staff,150750.0,247500.0,12766.5,1.6417910447761195,0.0846865671641791,75375.0,6.0,2.0,4.0,2218536.0,8.0,6.0,2.0
390314,0,59.14520547945205,,Very High,,50-60,Very Low Burden,Secondary / secondary special,Civil marriage,House / apartment,,229500.0,808650.0,23305.5,3.523529411764706,0.10154901960784314,114750.0,11.0,8.0,3.0,3154675.5,3.0,2.0,0.0
160738,0,31.665753424657535,4.887671232876713,Medium,2-5 Years,30-40,Moderate Burden,Higher education,Single / not married,House / apartment,,157500.0,545040.0,26509.5,3.4605714285714284,0.16831428571428572,157500.0,6.0,1.0,5.0,1425595.5,13.0,4.0,8.0
389904,1,29.71780821917808,1.906849315068493,Very Low,0-2 Years,20-30,Very High Burden,Higher education,Married,House / apartment,Core staff,72000.0,254700.0,20119.5,3.5375,0.2794375,18000.0,3.0,0.0,3.0,252103.5,2.0,2.0,0.0
123258,0,30.616438356164384,2.1452054794520548,Low,2-5 Years,30-40,Very Low Burden,Higher education,Married,House / apartment,Core staff,112500.0,202500.0,10125.0,1.8,0.09,37500.0,3.0,1.0,2.0,116500.5,3.0,3.0,0.0
152796,0,23.67945205479452,1.9342465753424658,Low,0-2 Years,20-30,High Burden,Higher education,Single / not married,House / apartment,High skill tech staff,112500.0,254700.0,27022.5,2.264,0.2402,112500.0,0.0,0.0,0.0,961704.0,2.0,2.0,0.0
134391,0,25.58082191780822,2.0383561643835617,Medium,2-5 Years,20-30,High Burden,Secondary / secondary special,Single / not married,House / apartment,Drivers,157500.0,592560.0,32274.0,3.7622857142857145,0.20491428571428572,157500.0,0.0,0.0,0.0,961704.0,1.0,1.0,0.0
349402,0,41.47397260273973,0.4712328767123288,Low,0-2 Years,40-50,Low Burden,Secondary / secondary special,Single / not married,House / apartment,Core staff,117000.0,339241.5,12919.5,2.8995,0.11042307692307693,117000.0,8.0,2.0,6.0,3300395.85,2.0,2.0,0.0
196937,0,34.47945205479452,10.284931506849315,High,10-20 Years,30-40,Moderate Burden,Secondary / secondary special,Married,House / apartment,High skill tech staff,166500.0,675000.0,28728.0,4.054054054054054,0.17254054054054055,41625.0,4.0,1.0,3.0,268908.885,3.0,3.0,0.0
292484,0,35.70958904109589,17.41917808219178,Medium,10-20 Years,30-40,Very High Burden,Secondary / secondary special,Separated,House / apartment,High skill tech staff,157500.0,781920.0,39852.0,4.964571428571428,0.25302857142857144,52500.0,2.0,0.0,2.0,782325.0,3.0,2.0,1.0
160044,0,44.31232876712329,5.865753424657535,High,5-10 Years,40-50,Very High Burden,Secondary / secondary special,Married,House / apartment,Laborers,180000.0,1223010.0,48501.0,6.7945,0.26945,90000.0,1.0,0.0,1.0,387270.0,3.0,3.0,0.0
138523,0,53.71780821917808,21.575342465753426,Medium,20+ Years,50-60,Moderate Burden,Secondary / secondary special,Separated,House / apartment,Medicine staff,157500.0,651600.0,26289.0,4.137142857142857,0.1669142857142857,157500.0,4.0,1.0,3.0,2363629.5,11.0,3.0,3.0
209865,0,51.97260273972603,,Low,,50-60,Moderate Burden,Secondary / secondary special,Single / not married,House / apartment,,130500.0,675000.0,20596.5,5.172413793103448,0.15782758620689655,130500.0,1.0,0.0,1.0,85518.0,1.0,1.0,0.0
297401,0,64.18630136986302,,Very Low,,60-70,Very High Burden,Secondary / secondary special,Married,House / apartment,,28350.0,269550.0,11547.0,9.507936507936508,0.4073015873015873,14175.0,1.0,1.0,0.0,50595.84,10.0,5.0,0.0
155773,0,43.16438356164384,0.7972602739726027,High,0-2 Years,40-50,Very Low Burden,Secondary / secondary special,Married,Municipal apartment,Sales staff,180000.0,125640.0,6943.5,0.698,0.038575,90000.0,3.0,2.0,1.0,305572.5,3.0,2.0,0.0
